,相川,新潟,新津,津川,長岡,柏崎,小出,高田,安塚,十日町,能生,津南,湯沢,守門,関山,下関,朝日,魚津,伏木,富山,砺波,氷見,猪谷,秋ヶ島,珠洲,輪島,七尾,金沢,加賀菅谷,白山河内,福井,大野,今庄,敦賀,小浜,九頭竜,武生
pref,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟,富山,富山,富山,富山,富山,富山,富山,富山,石川,石川,石川,石川,石川,石川,福井,福井,福井,福井,福井,福井,福井
jma,54157,54232,54296,54421,54501,54541,54616,54651,54661,54676,54721,54836,54841,54566,54816,54191,55022,55056,55091,55102,55141,55041,55267,55151,56036,56052,56146,56227,56301,56286,57066,57121,57206,57248,57317,57176,57106
amd,47602,47604,0521,0527,0529,0532,0534,47612,0536,0537,0540,0543,0544,0997,0998,1060,0546,0547,47606,47607,0552,1309,1455,1533,0560,47600,0565,47605,0571,0973,47616,0573,0577,47631,0579,1382,1565
lat,38.029167,37.893611,37.7925,37.672778,37.451389,37.352778,37.226667,37.106667,37.106944,37.143333,37.083333,36.998056,36.941944,37.347778,36.933333,38.0925,36.937222,36.822222,36.792222,36.709444,36.610833,36.864444,36.473333,36.648333,37.447222,37.391389,37.031111,36.589722,36.230556,36.3975,36.055556,35.971667,35.768056,35.653333,35.484444,35.909722,35.906389
lon,138.24,139.018889,139.0875,139.4475,138.823611,138.554444,138.963889,138.246667,138.457222,138.727778,138.023889,138.683889,138.810833,139.043611,138.2225,139.563889,137.563889,137.428889,137.056111,137.2025,136.956389,136.961389,137.236667,137.1875,137.2875,136.895278,136.991667,136.634722,136.361667,136.620833,136.2225,136.497778,136.201389,136.062222,135.783056,136.668333,136.174722
