表示順位,管理番号,検索キー,所属,府県,1次細分,旧2次細分,市町村,区分,標高,情報発表名,観測所名,読み,注意報期間,注意報基準,警報期間,警報基準,短時間期間,短時間基準,記録雪期間,記録雪基準,積雪厳重,積雪特警,JMA番号,気温JMA番号,緯度,経度
必須：とりあえず表示順に連番としておくと行の順序を変えて編集した後にすぐ戻せて便利,任意：使ってない,必須：ダウンロード・デコード・URL生成の際に観測所を特定するために使用する文字列。複数の値が必要な場合はコロン区切りなどで,必須：気象庁=1、河川=2、道路=3、自治体=10（obsmasterルールに従う）。青森原子力は100を割り当て,必須：都道府県抜きの府県名,任意：使ってない,任意：使ってない,必須：ページに表示される市町村名,必須：「平」「山」始まりの文字列の場合は情報掲載対象として扱い、濃く着色する。それ以外で「m未満」「平」「m以上」「山」を含むときは薄く着色する,任意：ページに表示される標高,必須：表示される観測所名もしくは情報発表名。この列の値を基にシート間の行整合を行うため重複は許されない,任意：ページ上で観測所名を情報発表名に併記する必要がある場合に記載,必須：情報発表名ソートに必要,任意：「A時間でBcm」のAの値。報知・表示して欲しい場合のみ記載,任意：「A時間でBcm」のBの値。報知・表示して欲しい場合のみ記載,任意：同左,任意：同左,任意：同左,任意：同左,任意：同左,任意：同左,任意：厳重警戒の閾値となる積雪深,任意：特別警報の閾値となる50年に一度の積雪深,必須：積雪観測所がobsmasterに記載されている場合、所属番号+府県番号+観測所番号の文法で記述。BUFR等で値を取得する際に地点特定材料となる。記載されていない場合は空欄,必須：気温観測所について同左,必須：観測所の緯度,必須：観測所の経度
30,30059,水原,3,新潟,下越,新潟地域,阿賀野市,200m未満,10,水原(道),,ｽｲﾊﾞﾗ,,,,,,,,,,,354019,,37.842589,139.220804
31,54006,17,10,新潟,下越,新潟地域,阿賀野市,200m未満,70,村杉(県),,ﾑﾗｽｷﾞ,,,,,,,,,,,,,37.803599,139.28985
32,30058,安田,3,新潟,下越,新潟地域,阿賀野市,200m未満,20,安田(道),,ﾔｽﾀﾞ,,,,,,,,,,,354023,,37.750358,139.251242
33,30065,分水,3,新潟,下越,新潟地域,燕市,200m未満,10,分水(道),,ﾌﾞﾝｽｲ,,,,,,,,,,,354012,,37.621771,138.847442
34,30067,吉田,3,新潟,下越,新潟地域,燕市,200m未満,10,吉田(道),,ﾖｼﾀﾞ,,,,,,,,,,,354056,,37.690128,138.885606
35,30004,黒埼,3,新潟,下越,新潟地域,新潟市,200m未満,0,黒埼(道),,ｸﾛｻｷ,,,,,,,,,,,354018,,37.854804,139.017496
36,30006,白根,3,新潟,下越,新潟地域,新潟市,200m未満,0,白根(道),,ｼﾛﾈ,,,,,,,,,,,,,37.78746,139.0203
37,30001,豊栄,3,新潟,下越,新潟地域,新潟市,200m未満,0,豊栄(道),,ﾄﾖｻｶ,,,,,,,,,,,,,37.95826,139.222626
38,30000,新潟,3,新潟,下越,新潟地域,新潟市,200m未満,0,新潟(道),,ﾆｲｶﾞﾀ,,,,,,,,,,,354015,,37.903002,139.075035
39,54012,43,10,新潟,下越,新潟地域,新潟市,200m未満,0,新潟(県),,ﾆｲｶﾞﾀ,,,,,,,,,,,,,37.892244,139.04997
40,30066,巻,3,新潟,下越,新潟地域,新潟市,200m未満,0,巻(道),,ﾏｷ,,,,,,,,,,,354055,,37.772462,138.901595
41,2,54232,1,新潟,下越,新潟地域,新潟市,平地,0,新潟,,ﾆｲｶﾞﾀ,,,6,30,6,35,3,25,40,101,154907,154232,37.893611,139.018889
42,3,54296,1,新潟,下越,新潟地域,新潟市,平地,0,新潟市新津,新津,ﾆｲｶﾞﾀｼﾆｲﾂ(ﾆｲﾂ),,,6,30,6,35,3,25,70,150,154910,154296,37.7925,139.0875
43,30013,猪子場,3,新潟,中越,三条地域,三条市,200m未満,10,猪子場(道),,ｲﾉｺﾊﾞ,,,,,,,,,,,,,37.607718,138.92574
44,54015,60,10,新潟,中越,三条地域,三条市,200m未満,70,上谷地(県),,ｶﾐﾔﾁ,,,,,,,,,,,,,37.577132,139.083907
45,30005,三条,3,新潟,中越,三条地域,三条市,200m未満,10,三条(道),,ｻﾝｼﾞｮｳ,,,,,,,,,,,354011,,37.648544,138.94573
46,54013,57,10,新潟,中越,三条地域,三条市,平地,10,三条市興野(県),三条,ｻﾝｼﾞｮｳｼｺｳﾔ(ｻﾝｼﾞｮｳ),,,6,35,6,40,3,25,90,,,,37.635934,138.973475
47,54014,59,10,新潟,中越,三条地域,三条市,200m未満,110,下田(県),,ｼﾀﾀﾞ,,,,,,,,,,,,,37.522764,139.13838
48,30068,出雲崎,3,新潟,中越,長岡地域,出雲崎町,200m未満,50,出雲崎(道),,ｲｽﾞﾓｻﾞｷ,,,,,,,,,,,354034,,37.513197,138.703601
49,30038,小千谷,3,新潟,中越,長岡地域,小千谷市,200m未満,70,小千谷(道),,ｵﾁﾞﾔ,,,,,,,,,,,354032,,37.322228,138.820392
50,54019,72,10,新潟,中越,長岡地域,小千谷市,200m未満,60,小千谷(県),,ｵﾁﾞﾔ,,,,,,,,,,,,,37.321544,138.791077
51,30047,木津,3,新潟,中越,長岡地域,小千谷市,200m未満,100,木津(道),,ｷﾂﾞ,,,,,,,,,,,,,37.300444,138.824616
52,30046,三仏生,3,新潟,中越,長岡地域,小千谷市,200m未満,50,三仏生(道),,ｻﾝﾌﾞｼｮｳ,,,,,,,,,,,,,37.342884,138.816821
53,30037,坂塚,3,新潟,中越,長岡地域,長岡市,200m未満,120,坂塚(道),,ｻｶﾂﾞｶ,,,,,,,,,,,354039,,37.281208,138.851709
54,30069,島崎,3,新潟,中越,長岡地域,長岡市,200m未満,20,島崎(道),,ｼﾏｻﾞｷ,,,,,,,,,,,354057,,37.591869,138.769522
55,54017,68,10,新潟,中越,長岡地域,長岡市,200m以上,320,栃尾(県),,ﾄﾁｵ,,,,,,,,,,,,,37.405379,139.009478
56,30039,長岡,3,新潟,中越,長岡地域,長岡市,200m未満,20,長岡(道),,ﾅｶﾞｵｶ,,,,,,,,,,,354033,,37.450066,138.875775
57,54016,66,10,新潟,中越,長岡地域,長岡市,200m未満,30,長岡(県),,ﾅｶﾞｵｶ,,,,,,,,,,,,,37.435527,138.866285
58,30007,中之島,3,新潟,中越,長岡地域,長岡市,200m未満,20,中之島(道),,ﾅｶﾉｼﾏ,,,,,,,,,,,354024,,37.523986,138.877032
59,30008,宮本,3,新潟,中越,長岡地域,長岡市,200m未満,60,宮本(道),,ﾐﾔﾓﾄ,,,,,,,,,,,,,37.449777,138.75279
60,54018,69,10,新潟,中越,長岡地域,長岡市,200m以上,200,山古志(県),,ﾔﾏｺｼ,,,,,,,,,,,,,37.321925,138.880323
61,54020,78,10,新潟,中越,長岡地域,長岡市,200m未満,20,与板(県),,ﾖｲﾀ,,,,,,,,,,,,,37.533488,138.821367
62,5,54501,1,新潟,中越,長岡地域,長岡市,平地,20,長岡,,ﾅｶﾞｵｶ,,,6,35,6,40,3,25,140,241,154920,154501,37.451389,138.823611
63,30015,坂井,3,新潟,中越,長岡地域,見附市,200m未満,10,坂井(道),,ｻｶｲ,,,,,,,,,,,,,37.569697,138.895131
64,30014,五十土,3,新潟,中越,柏崎地域,柏崎市,200m未満,80,五十土(道),,ｲｶﾂﾞﾁ,,,,,,,,,,,,,37.407358,138.686723
65,54044,134,10,新潟,中越,柏崎地域,柏崎市,200m以上,220,石黒(県),,ｲｼｸﾞﾛ,,,,,,,,,,,,,37.192497,138.563885
66,30010,柏崎,3,新潟,中越,柏崎地域,柏崎市,200m未満,10,柏崎(道),,ｶｼﾜｻﾞｷ,,,,,,,,,,,354026,,37.368017,138.57408
67,30012,小清水,3,新潟,中越,柏崎地域,柏崎市,200m未満,10,小清水(道),,ｺｼﾐｽﾞ,,,,,,,,,,,354042,,37.306082,138.419068
68,54043,133,10,新潟,中越,柏崎地域,柏崎市,200m未満,110,高柳(県),,ﾀｶﾔﾅｷﾞ,,,,,,,,,,,,,37.211704,138.666295
69,54045,135,10,新潟,中越,柏崎地域,柏崎市,200m未満,60,武石(県),,ﾀｹｲｼ,,,,,,,,,,,,,37.340374,138.660995
70,30011,米山,3,新潟,中越,柏崎地域,柏崎市,200m未満,40,米山(道),,ﾖﾈﾔﾏ,,,,,,,,,,,354027,,37.349667,138.492156
71,6,54541,1,新潟,中越,柏崎地域,柏崎市,平地,0,柏崎,,ｶｼﾜｻﾞｷ,,,6,35,6,40,3,25,70,160,154925,154541,37.352778,138.554444
72,30009,赤田,3,新潟,中越,柏崎地域,刈羽村,200m未満,130,赤田(道),,ｱｶﾀﾞ,,,,,,,,,,,354025,,37.410183,138.665067
73,54021,88,10,新潟,中越,魚沼市,魚沼市,200m以上,270,入広瀬(県),,ｲﾘﾋﾛｾ,,,,,,,,,,,,,37.339682,139.101229
74,54023,90,10,新潟,中越,魚沼市,魚沼市,200m以上,260,大湯(県),,ｵｵﾕ,,,,,,,,,,,,,37.205224,139.072095
75,54022,89,10,新潟,中越,魚沼市,魚沼市,200m以上,230,上稲倉(県),,ｶﾐｲﾅｸﾗ,,,,,,,,,,,,,37.183593,138.853688
76,54025,92,10,新潟,中越,魚沼市,魚沼市,品質不良,760,銀山平(県),,ｷﾞﾝｻﾞﾝﾀﾞｲﾗ,,,,,,,,,,,1054073,,37.135844,139.161502
77,30035,小出,3,新潟,中越,魚沼市,魚沼市,200m未満,100,小出(道),,ｺｲﾃﾞ,,,,,,,,,,,354031,,37.230079,138.968402
78,30036,堀之内,3,新潟,中越,魚沼市,魚沼市,200m未満,80,堀之内(道),,ﾎﾘﾉｳﾁ,,,,,,,,,,,,,37.259955,138.89039
79,54024,91,10,新潟,中越,魚沼市,魚沼市,品質不良,740,六十里(県),,ﾛｸｼﾞｭｳﾘ,,,,,,,,,,,1054076,,37.302228,139.210289
80,7,54566,1,新潟,中越,魚沼市,魚沼市,山沿い,220,魚沼市守門,守門,ｳｵﾇﾏｼｽﾓﾝ(ｽﾓﾝ),,,12,60,12,70,6,45,350,492,154930,154566,37.347778,139.043611
81,8,54616,1,新潟,中越,魚沼市,魚沼市,山沿い,100,魚沼市小出,小出,ｳｵﾇﾏｼｺｲﾃﾞ(ｺｲﾃﾞ),,,12,60,12,70,6,45,300,430,154935,154616,37.226667,138.963889
82,54042,125,10,新潟,中越,南魚沼地域,南魚沼市,200m以上,450,上野(県),,ｳﾜﾉ,,,,,,,,,,,1054089,,36.984289,138.781381
83,54040,122,10,新潟,中越,南魚沼地域,南魚沼市,200m以上,500,小栗山(県),,ｺｸﾞﾘﾔﾏ,,,,,,,,,,,1054088,,37.08165,138.837259
84,30032,塩沢,3,新潟,中越,南魚沼地域,南魚沼市,200m以上,250,塩沢(道),,ｼｵｻﾞﾜ,,,,,,,,,,,,,36.985354,138.808304
85,54038,120,10,新潟,中越,南魚沼地域,南魚沼市,200m以上,580,清水(県),,ｼﾐｽﾞ,,,,,,,,,,,,,36.953531,138.92109
86,30045,関山:国道17号,3,新潟,中越,南魚沼地域,南魚沼市,200m以上,330,R17関山(道),,ｾｷﾔﾏ,,,,,,,,,,,354038,,36.966257,138.801762
87,54039,121,10,新潟,中越,南魚沼地域,南魚沼市,200m以上,310,野中(県),,ﾉﾅｶ,,,,,,,,,,,,,37.05486,138.991416
88,54041,124,10,新潟,中越,南魚沼地域,南魚沼市,200m以上,300,一村尾(県),,ﾋﾄﾑﾗｵ,,,,,,,,,,,1054087,,37.152873,138.890236
89,54037,116,10,新潟,中越,南魚沼地域,南魚沼市,山沿い,170,南魚沼市六日町(県),六日町,ﾐﾅﾐｳｵﾇﾏｼﾑｲｶﾏﾁ(ﾑｲｶﾏﾁ),,,12,60,12,70,6,45,270,,,,37.056066,138.870492
90,30033,六日町跨線橋,3,新潟,中越,南魚沼地域,南魚沼市,200m未満,170,六日町(道),,ﾑｲｶﾏﾁ,,,,,,,,,,,354030,,37.074554,138.882576
91,30034,大和,3,新潟,中越,南魚沼地域,南魚沼市,200m未満,120,大和(道),,ﾔﾏﾄ,,,,,,,,,,,,,37.174863,138.923804
92,30028,浅貝,3,新潟,中越,南魚沼地域,湯沢町,200m以上,1000,浅貝(道),,ｱｻｶｲ,,,,,,,,,,,354028,,36.779943,138.807773
93,30044,萱付,3,新潟,中越,南魚沼地域,湯沢町,品質不良,790,萱付(道),,ｶﾔﾂｷ,,,,,,,,,,,,,36.864403,138.775385
94,30042,神立,3,新潟,中越,南魚沼地域,湯沢町,200m以上,400,神立(道),,ｶﾝﾀﾞﾂ,,,,,,,,,,,,,36.920539,138.821939
95,30043,芝原,3,新潟,中越,南魚沼地域,湯沢町,200m以上,620,芝原(道),,ｼﾊﾞﾊﾗ,,,,,,,,,,,354037,,36.913968,138.796925
96,30041,七谷切,3,新潟,中越,南魚沼地域,湯沢町,200m以上,480,七谷切(道),,ﾅﾅﾀｷﾞﾘ,,,,,,,,,,,,,36.920808,138.808684
97,30040,火打,3,新潟,中越,南魚沼地域,湯沢町,200m以上,960,火打(道),,ﾋｳﾁ,,,,,,,,,,,354035,,36.806544,138.785039
98,30029,二居,3,新潟,中越,南魚沼地域,湯沢町,200m以上,830,二居(道),,ﾌﾀｲ,,,,,,,,,,,,,36.839077,138.779398
99,30030,三俣,3,新潟,中越,南魚沼地域,湯沢町,200m以上,630,三俣(道),,ﾐﾂﾏﾀ,,,,,,,,,,,,,36.891952,138.775905
100,30031,湯沢,3,新潟,中越,南魚沼地域,湯沢町,200m以上,330,湯沢(道),,ﾕｻﾞﾜ,,,,,,,,,,,354029,,36.94203,138.810872
101,15,54841,1,新潟,中越,南魚沼地域,湯沢町,山沿い,330,湯沢,,ﾕｻﾞﾜ,,,12,60,12,70,6,45,280,389,154960,154841,36.941944,138.810833
102,54030,104,10,新潟,中越,十日町地域,津南町,200m以上,720,前倉(県),,ﾏｴｸﾞﾗ,,,,,,,,,,,1054080,,36.899955,138.629213
103,54027,101,10,新潟,中越,十日町地域,津南町,200m以上,250,宮野原(県),,ﾐﾔﾉﾊﾗ,,,,,,,,,,,,,36.995128,138.597119
104,14,54836,1,新潟,中越,十日町地域,津南町,山沿い,450,津南,,ﾂﾅﾝ,,,12,60,12,70,6,45,350,477,154965,154836,36.998056,138.683889
