表示順位,管理番号,検索キー,所属,府県,1次細分,旧2次細分,市町村,区分,標高,情報発表名,観測所名,読み,注意報期間,注意報基準,警報期間,警報基準,短時間期間,短時間基準,記録雪期間,記録雪基準,積雪厳重,積雪特警,JMA番号,気温JMA番号,緯度,経度
必須：とりあえず表示順に連番としておくと行の順序を変えて編集した後にすぐ戻せて便利,任意：使ってない,必須：ダウンロード・デコード・URL生成の際に観測所を特定するために使用する文字列。複数の値が必要な場合はコロン区切りなどで,必須：気象庁=1、河川=2、道路=3、自治体=10（obsmasterルールに従う）。青森原子力は100を割り当て,必須：都道府県抜きの府県名,任意：使ってない,任意：使ってない,必須：ページに表示される市町村名,必須：「平」「山」始まりの文字列の場合は情報掲載対象として扱い、濃く着色する。それ以外で「m未満」「平」「m以上」「山」を含むときは薄く着色する,任意：ページに表示される標高,必須：表示される観測所名もしくは情報発表名。この列の値を基にシート間の行整合を行うため重複は許されない,任意：ページ上で観測所名を情報発表名に併記する必要がある場合に記載,必須：情報発表名ソートに必要,任意：「A時間でBcm」のAの値。報知・表示して欲しい場合のみ記載,任意：「A時間でBcm」のBの値。報知・表示して欲しい場合のみ記載,任意：同左,任意：同左,任意：同左,任意：同左,任意：同左,任意：同左,任意：厳重警戒の閾値となる積雪深,任意：特別警報の閾値となる50年に一度の積雪深,必須：積雪観測所がobsmasterに記載されている場合、所属番号+府県番号+観測所番号の文法で記述。BUFR等で値を取得する際に地点特定材料となる。記載されていない場合は空欄,必須：気温観測所について同左,必須：観測所の緯度,必須：観測所の経度
128,10,54661,1,新潟,上越,上越市,上越市,山沿い,130,上越市安塚,安塚,ｼﾞｮｳｴﾂｼﾔｽﾂﾞｶ(ﾔｽﾂﾞｶ),,,12,55,12,65,6,45,260,416,154940,154661,37.106944,138.457222
129,9,54651,1,新潟,上越,上越市,上越市,平地,10,上越市高田,高田,ｼﾞｮｳｴﾂｼﾀｶﾀﾞ(ﾀｶﾀﾞ),,,6,30,6,35,3,25,150,323,154937,154651,37.106667,138.246667
130,30054,乙吉,3,新潟,上越,妙高市,妙高市,200m未満,30,乙吉(道),,ｵﾄﾖｼ,,,,,,,,,,,,,37.051752,138.248625
131,30048,信越大橋,3,新潟,上越,妙高市,妙高市,200m以上,610,信越大橋(道),,ｼﾝｴﾂｵｵﾊｼ,,,,,,,,,,,354053,,36.857244,138.193067
132,30050,関山:国道18号,3,新潟,上越,妙高市,妙高市,200m以上,360,R18関山(道),,ｾｷﾔﾏ,,,,,,,,,,,,,36.935243,138.218015
133,54049,154,10,新潟,上越,妙高市,妙高市,200m以上,290,長沢(県),,ﾅｶﾞｻﾜ,,,,,,,,,,,1054113,,36.934164,138.29698
134,30049,妙高,3,新潟,上越,妙高市,妙高市,200m以上,480,妙高(道),,ﾐｮｳｺｳ,,,,,,,,,,,354048,,36.898125,138.209338
135,13,54816,1,新潟,上越,妙高市,妙高市,山沿い,350,妙高市関山,関山,ﾐｮｳｺｳｼｾｷﾔﾏ(ｾｷﾔﾏ),,,12,55,12,65,6,45,270,415,154955,154816,36.933333,138.2225
136,30020,糸魚川,3,新潟,上越,糸魚川市,糸魚川市,200m未満,10,糸魚川(道),,ｲﾄｲｶﾞﾜ,,,,,,,,,,,354046,,37.044742,137.851504
137,54050,160,10,新潟,上越,糸魚川市,糸魚川市,平地,10,糸魚川市南押上(県),糸魚川,ｲﾄｲｶﾞﾜｼﾐﾅﾐｵｼｱｹﾞ(ｲﾄｲｶﾞﾜ),,,6,30,6,35,3,25,80,,,,37.045426,137.879037
138,30022,親不知,3,新潟,上越,糸魚川市,糸魚川市,200m未満,20,親不知(道),,ｵﾔｼﾗｽﾞ,,,,,,,,,,,354047,,36.997552,137.710395
139,30027,田伏,3,新潟,上越,糸魚川市,糸魚川市,200m未満,20,田伏(道),,ﾀﾌﾞｾ,,,,,,,,,,,,,37.054323,137.904022
140,30021,玉ノ木,3,新潟,上越,糸魚川市,糸魚川市,200m未満,10,玉ノ木(道),,ﾀﾏﾉｷ,,,,,,,,,,,,,36.979223,137.642706
141,54052,165,10,新潟,上越,糸魚川市,糸魚川市,200m以上,200,田麦平(県),,ﾀﾑｷﾞﾀﾞｲﾗ,,,,,,,,,,,,,37.035723,138.067514
142,54053,166,10,新潟,上越,糸魚川市,糸魚川市,200m以上,210,橋立(県),,ﾊｼﾀﾞﾃ(閉局),,,,,,,,,,,1054130,,36.974418,137.760564
143,54056,169,10,新潟,上越,糸魚川市,糸魚川市,品質不良,840,火打1号ダム(県),,ﾋｳﾁｲﾁｺﾞｳﾀﾞﾑ,,,,,,,,,,,1054136,,36.975052,138.036006
144,54051,164,10,新潟,上越,糸魚川市,糸魚川市,200m以上,270,平岩(県),,ﾋﾗｲﾜ,,,,,,,,,,,1054127,,36.891614,137.860682
145,30019,藤崎,3,新潟,上越,糸魚川市,糸魚川市,200m未満,10,藤崎(道),,ﾄｳｻﾞｷ,,,,,,,,,,,354051,,37.11892,138.031734
146,54055,168,10,新潟,上越,糸魚川市,糸魚川市,200m未満,50,萬青橋(県),,ﾊﾞﾝｾｲﾊﾞｼ(閉局),,,,,,,,,,,1054135,,37.085757,138.020891
147,54054,167,10,新潟,上越,糸魚川市,糸魚川市,200m以上,420,焼山温泉(県),,ﾔｹﾔﾏｵﾝｾﾝ,,,,,,,,,,,1054134,,36.990855,138.01358
148,12,54721,1,新潟,上越,糸魚川市,糸魚川市,山沿い,60,糸魚川市能生,能生,ｲﾄｲｶﾞﾜｼﾉｳ(ﾉｳ),,,12,55,12,65,6,45,140,286,154950,154721,37.083333,138.023889
149,0,54157,1,新潟,佐渡,佐渡,佐渡市,平地,0,佐渡市相川,相川,ｻﾄﾞｼｱｲｶﾜ(ｱｲｶﾜ),,,6,30,6,35,3,25,40,54,154900,154157,38.029167,138.24
150,30073,境,3,富山,東部,東部北,朝日町,200m未満,10,境(道),,ｻｶｲ,,,,,,,,,,,,,36.976389,137.619167
151,16,55022,1,富山,東部,東部北,朝日町,平地,40,朝日,,ｱｻﾋ,,,6,25,6,30,3,20,90,135,155900,155022,36.937222,137.563889
152,55002,113,10,富山,東部,東部北,朝日町,200m未満,120,朝日町蛭谷(県),蛭谷,ｱｻﾋﾏﾁﾋﾞﾙﾀﾞﾆ(ﾋﾞﾙﾀﾞﾆ),,,,,,,,,,,,,36.905131,137.592041
153,30082,江口,3,富山,東部,東部北,魚津市,200m未満,30,江口(道),,ｴｸﾞﾁ,,,,,,,,,,,,,36.834227,137.418936
154,18,55056,1,富山,東部,東部北,魚津市,平地,50,魚津,,ｳｵﾂﾞ,,,6,25,6,30,3,20,90,168,155905,155056,36.822222,137.428889
155,55003,124,10,富山,東部,東部北,魚津市,200m未満,50,魚津(県),,ｳｵﾂﾞ(アメダス分岐),,,,,,,,,,,,,36.822222,137.428889
156,55001,112,10,富山,東部,東部北,黒部市,200m以上,200,黒部市宇奈月町内山(県),宇奈月,ｸﾛﾍﾞｼｳﾅﾂﾞｷﾏﾁｳﾁﾔﾏ(ｳﾅﾂﾞｷ),,,,,,,,,,,,,36.831719,137.563343
157,30070,黒部国道維持,3,富山,東部,東部北,黒部市,200m未満,30,黒部(道),,ｸﾛﾍﾞ,,,,,,,,,,,355001,,36.880375,137.46104
158,30074,出島,3,富山,東部,東部北,黒部市,200m未満,10,出島(道),,ﾃﾞｼﾞﾏ,,,,,,,,,,,355011,,36.898948,137.445356
159,30080,大掛,3,富山,東部,東部北,滑川市,200m未満,50,大掛(道),,ｵｵｶﾞｹ,,,,,,,,,,,,,36.77559,137.390149
160,30075,北野１,3,富山,東部,東部北,滑川市,200m未満,50,北野１(道),,ｷﾀﾉ,,,,,,,,,,,,,36.767706,137.3791
161,55004,127,10,富山,東部,東部北,滑川市,200m未満,110,滑川市大崎野(県),大崎野,ﾅﾒﾘｶﾜｼｵｵｻｷﾉ(ｵｵｻｷﾉ),,,,,,,,,,,,,36.744944,137.395701
162,30081,上野,3,富山,東部,東部北,入善町,200m未満,30,上野(道),,ｳﾜﾉ,,,,,,,,,,,,,36.926668,137.489044
163,55000,111,10,富山,東部,東部北,入善町,200m未満,20,入善町上野(県),入善,ﾆｭｳｾﾞﾝﾏﾁｳﾜﾉ(ﾆｭｳｾﾞﾝ),,,,,,,,,,,1055001,,36.935564,137.496335
164,30078,椚山,3,富山,東部,東部北,入善町,200m未満,20,椚山(道),,ｸﾇｷﾞﾔﾏ,,,,,,,,,,,,,36.938625,137.512991
165,30076,久金１,3,富山,東部,東部南,上市町,200m未満,10,久金１(道),,ﾋｻｶﾞﾈ,,,,,,,,,,,,,36.724689,137.323057
166,55006,131,10,富山,東部,東部南,立山町,200m以上,430,立山町芦峅寺(県),芦峅寺,ﾀﾃﾔﾏﾏﾁｱｼｸﾗｼﾞ(ｱｼｸﾗｼﾞ),,,,,,,,,,,,,36.583284,137.39686
167,55005,130,10,富山,東部,東部南,立山町,200m未満,70,立山町前沢(県),立山,ﾀﾃﾔﾏﾏﾁﾏｴｻﾞﾜ(ﾀﾃﾔﾏ),,,,,,,,,,,,,36.662754,137.312893
168,30084,岩稲,3,富山,東部,東部南,富山市,200m未満,140,岩稲(道),,ｲﾜｲﾈ,,,,,,,,,,,355005,,36.546319,137.227398
169,30085,大沢野,3,富山,東部,東部南,富山市,200m未満,80,大沢野(道),,ｵｵｻﾜﾉ,,,,,,,,,,,,,36.591743,137.203418
170,30083,片掛１,3,富山,東部,東部南,富山市,200m以上,230,片掛(道),,ｶﾀｶｹ,,,,,,,,,,,355004,,36.489481,137.237927
171,30071,富山国道維持,3,富山,東部,東部南,富山市,200m未満,-,富山(道),,ﾄﾔﾏ,,,,,,,,,,,355002,,36.729512,137.223956
172,30086,楡原,3,富山,東部,東部南,富山市,200m未満,160,楡原(道),,ﾆﾚﾊﾗ,,,,,,,,,,,,,36.531967,137.226259
173,55009,109,10,富山,東部,東部南,富山市,200m以上,470,富山市原(県),原,ﾄﾔﾏｼﾊﾗ(ﾊﾗ),,,,,,,,,,,,,36.574695,137.409358
174,22,55151,1,富山,東部,東部南,富山市,平地,20,富山市秋ヶ島,秋ヶ島,ﾄﾔﾏｼｱｷｶﾞｼﾏ(ｱｷｶﾞｼﾏ),,,6,30,6,35,3,25,90,,155925,155151,36.648333,137.1875
175,23,55267,1,富山,東部,東部南,富山市,山間部,210,富山市猪谷,猪谷,ﾄﾔﾏｼｲﾉﾀﾆ(ｲﾉﾀﾆ),,,12,50,12,60,6,40,160,259,155920,155267,36.473333,137.236667
176,55008,107,10,富山,東部,東部南,富山市,平地,110,富山市八尾町上田池(県),八尾,ﾄﾔﾏｼﾔﾂｵﾏﾁｶﾐﾀｲｹ(ﾔﾂｵ),,,6,30,6,35,3,25,110,,,,36.566257,137.128144
177,55010,108,10,富山,東部,東部南,富山市,200m未満,140,富山市婦中町鶚谷(県),婦中,ﾄﾔﾏｼﾌﾁｭｳﾏﾁﾐｻｺﾞﾀﾞﾆ(ﾌﾁｭｳ),,,,,,,,,,,,,36.628724,137.071229
178,20,55102,1,富山,東部,東部南,富山市,平地,10,富山,,ﾄﾔﾏ,,,6,30,6,35,3,25,90,161,155908,155102,36.709444,137.2025
179,55007,104,10,富山,東部,東部南,富山市,200m未満,10,富山市芝園町(県),富山,ﾄﾔﾏｼｼﾊﾞｿﾞﾉﾁｮｳ(ﾄﾔﾏ),,,,,,,,,,,,,36.698626,137.203061
180,30079,鏡宮,3,富山,西部,西部北,射水市,200m未満,0,鏡宮(道),,ｶｶﾞﾐﾉﾐﾔ,,,,,,,,,,,,,36.751761,137.083738
181,55015,116,10,富山,西部,西部北,射水市,200m未満,0,射水市堀岡古明神(県),新湊,ｲﾐｽﾞｼﾎﾘｵｶﾌﾙﾐｮｳｼﾞﾝ(ｼﾝﾐﾅﾄ),,,,,,,,,,,,,36.769875,137.128968
182,30072,小矢部,3,富山,西部,西部北,小矢部市,200m未満,100,小矢部(道),,ｵﾔﾍﾞ,,,,,,,,,,,355003,,36.676207,136.825295
183,30077,桜町,3,富山,西部,西部北,小矢部市,200m未満,50,桜町(道),,ｻｸﾗﾏﾁ,,,,,,,,,,,,,36.68847,136.860003
184,55014,103,10,富山,西部,西部北,小矢部市,200m未満,160,小矢部市岩尾滝(県),岩尾滝,ｵﾔﾍﾞｼｲﾜｵﾀﾞｷ(ｲﾜｵﾀﾞｷ),,,,,,,,,,,,,36.701914,136.817625
185,55012,101,10,富山,西部,西部北,小矢部市,200m未満,30,小矢部市今石動町(県),小矢部,ｵﾔﾍﾞｼｲﾏｲｽﾙｷﾞﾏﾁ(ｵﾔﾍﾞ),,,,,,,,,,,,,36.67441,136.879667
186,55013,102,10,富山,西部,西部北,小矢部市,200m未満,140,小矢部市内山(県),内山,ｵﾔﾍﾞｼｳﾁﾔﾏ(ｳﾁﾔﾏ),,,,,,,,,,,,,36.624953,136.794381
187,30093,高岡北,3,富山,西部,西部北,高岡市,200m未満,10,高岡北(道),,ﾀｶｵｶｷﾀ,,,,,,,,,,,,,36.771001,136.982096
188,30091,能越国道維持,3,富山,西部,西部北,高岡市,200m未満,10,能越(道),,ﾉｳｴﾂ,,,,,,,,,,,,,36.772745,137.001113
189,55011,115,10,富山,西部,西部北,高岡市,200m未満,10,高岡市赤祖父(県),高岡,ﾀｶｵｶｼｱｶｿﾌ(ﾀｶｵｶ),,,,,,,,,,,,,36.73388,137.022115
190,55016,119,10,富山,西部,西部北,高岡市,200m以上,350,高岡市福岡町沢川(県),沢川,ﾀｶｵｶｼﾌｸｵｶﾏﾁｿｳｺﾞｳ(ｿｳｺﾞｳ),,,,,,,,,,,,,36.772016,136.852397
191,19,55091,1,富山,西部,西部北,高岡市,平地,10,高岡市伏木,伏木,ﾀｶｵｶｼﾌｼｷ(ﾌｼｷ),,,6,30,6,35,3,25,80,159,155907,155091,36.792222,137.056111
192,30090,大境１,3,富山,西部,西部北,氷見市,200m未満,30,大境(道),,ｵｵｻﾞｶｲ,,,,,,,,,,,355009,,36.923499,137.025225
193,30094,灘浦ＩＣ,3,富山,西部,西部北,氷見市,200m未満,10,灘浦IC(道),,ﾅﾀﾞｳﾗIC,,,,,,,,,,,,,36.918005,137.004391
194,30092,氷見IC,3,富山,西部,西部北,氷見市,200m未満,10,氷見IC(道),,ﾋﾐIC,,,,,,,,,,,,,36.857384,136.957398
195,55019,160,10,富山,西部,西部北,氷見市,200m未満,150,氷見市熊無(県),熊無,ﾋﾐｼｸﾏﾅｼ(ｸﾏﾅｼ),,,,,,,,,,,,,36.884113,136.889133
196,17,55041,1,富山,西部,西部北,氷見市,平地,0,氷見,,ﾋﾐ,,,6,30,6,35,3,25,80,111,155915,155041,36.864444,136.961389
197,55017,158,10,富山,西部,西部北,氷見市,200m未満,0,氷見市朝日丘(県),氷見,ﾋﾐｼｱｻﾋｶﾞｵｶ(ﾋﾐ),,,,,,,,,,,,,36.846847,136.982819
198,55018,163,10,富山,西部,西部北,氷見市,200m未満,20,氷見市脇之谷内(県),脇之谷内,ﾋﾐｼﾜｷﾉﾔﾁ(ﾜｷﾉﾔﾁ),,,,,,,,,,,,,36.785675,136.943332
199,30087,小牧,3,富山,西部,西部南,砺波市,200m未満,180,小牧(道),,ｺﾏｷ,,,,,,,,,,,355007,,36.557035,137.006304
200,30089,五郎丸,3,富山,西部,西部南,砺波市,200m未満,70,五郎丸(道),,ｺﾞﾛｳﾏﾙ,,,,,,,,,,,,,36.612435,136.965312
201,30088,砺波,3,富山,西部,西部南,砺波市,200m未満,50,砺波(道),,ﾄﾅﾐ,,,,,,,,,,,355006,,36.650573,136.962262
202,55020,142,10,富山,西部,西部南,砺波市,200m未満,60,砺波市鷹栖(県),鷹栖,ﾄﾅﾐｼﾀｶﾉｽ(ﾀｶﾉｽ),,,,,,,,,,,,,36.618763,136.933063
203,21,55141,1,富山,西部,西部南,砺波市,平地,70,砺波,,ﾄﾅﾐ,,,6,25,6,30,3,20,90,148,155910,155141,36.610833,136.956389
204,55026,155,10,富山,西部,西部南,南砺市,200m以上,350,南砺市西赤尾町(県),上平,ﾅﾝﾄｼﾆｼｱｶｵﾏﾁ(ｶﾐﾀｲﾗ),,,,,,,,,,,,,36.374359,136.868354
205,55025,150,10,富山,西部,西部南,南砺市,200m以上,200,南砺市利賀村新山(県),新山,ﾅﾝﾄｼﾄｶﾞﾑﾗｱﾗﾔﾏ(ｱﾗﾔﾏ),,,,,,,,,,,,,36.488526,136.985181
206,55022,151,10,富山,西部,西部南,南砺市,平地,120,南砺市川西(県),福光,ﾅﾝﾄｼｶﾜﾆｼ(ﾌｸﾐﾂ),,,6,25,6,30,3,20,100,,,,36.577548,136.848636
207,55021,143,10,富山,西部,西部南,南砺市,200m未満,60,南砺市寺家(県),福野,ﾅﾝﾄｼｼﾞｹ(ﾌｸﾉ),,,,,,,,,,,1055032,,36.587364,136.914413
208,55024,145,10,富山,西部,西部南,南砺市,200m以上,530,南砺市梨谷(県),平,ﾅﾝﾄｼﾅｼﾀﾆ(ﾀｲﾗ),,,,,,,,,,,,,36.439196,136.940051
209,55023,144,10,富山,西部,西部南,南砺市,200m以上,530,南砺市利賀村高沼(県),利賀,ﾅﾝﾄｼﾄｶﾞﾑﾗﾀｶﾇﾏ(ﾄｶﾞ),,,,,,,,,,,,,36.516027,137.028522
210,30111,穴水,3,石川,能登,能登北部,穴水町,200m未満,170,穴水(道),,ｱﾅﾐｽﾞ,,,,,,,,,,,356014,,37.272984,136.923438
211,56055,46,10,石川,能登,能登北部,穴水町,200m未満,0,穴水(県),,ｱﾅﾐｽﾞ,,,,,,,,,,,1056238,,37.228889,136.9025
212,56075,1001,10,石川,能登,能登北部,穴水町,200m以上,240,別所岳SA(県),,ﾍﾞｯｼｮﾀﾞｹSA,,,,,,,,,,,1056263,,37.18,136.854167
213,56071,41,10,石川,能登,能登北部,珠洲市,200m未満,20,寺家(県),,ｼﾞｹ,,,,,,,,,,,1056233,,37.5075,137.344722
214,24,56036,1,石川,能登,能登北部,珠洲市,平地,0,珠洲,,ｽｽﾞ,,,12,30,12,35,6,25,70,137,156900,156036,37.447222,137.2875
215,56070,19,10,石川,能登,能登北部,珠洲市,山地,220,珠洲市大谷町(県),大谷峠,ｽｽﾞｼｵｵﾀﾆﾏﾁ(ｵｵﾀﾆﾄｳｹﾞ),,,12,45,12,55,6,35,,,1056211,,37.478333,137.198333
216,56069,42,10,石川,能登,能登北部,珠洲市,山地,150,珠洲市若山町上山(県),八太郎,ｽｽﾞｼﾜｶﾔﾏﾏﾁｶﾐﾔﾏ(ﾊｯﾀﾛｳ),,,12,45,12,55,6,35,,,1056234,,37.446111,137.147778
217,56061,47,10,石川,能登,能登北部,能登町,平地,10,能登町宇出津(県),宇出津,ﾉﾄﾁｮｳｳｼﾂ(ｳｼﾂ),,,12,30,12,35,6,25,60,,1056239,,37.299444,137.148056
218,56063,39,10,石川,能登,能登北部,能登町,山地,130,能登町小間生(県),桐畑,ﾉﾄﾁｮｳｵﾓｳ(ｷﾘﾊﾞﾀｹ),,,12,45,12,55,6,35,,,1056231,,37.382222,137.139167
219,56072,21,10,石川,能登,能登北部,能登町,山地,210,能登町駒渡(県),駒渡,ﾉﾄﾁｮｳｺﾏﾜﾀﾘ(ｺﾏﾜﾀﾘ),,,12,45,12,55,6,35,130,,1056213,,37.355278,137.158333
220,56066,20,10,石川,能登,能登北部,能登町,200m未満,70,十八束(県),,ｼﾞｭｳﾊｯｿｸ,,,,,,,,,,,1056212,,37.326667,137.195556
221,56065,75,10,石川,能登,能登北部,能登町,平地,10,能登町小木(県),小木,ﾉﾄﾁｮｳｵｷﾞ(ｵｷﾞ),,,12,30,12,35,6,25,,,1056262,,37.304722,137.227222
222,56059,18,10,石川,能登,能登北部,能登町,山地,180,能登町太田原(県),太田原,ﾉﾄﾁｮｳｵｵﾀﾞﾜﾗ(ｵｵﾀﾞﾜﾗ),,,12,45,12,55,6,35,110,,1056210,,37.321389,136.994167
223,56058,16,10,石川,能登,能登北部,能登町,山地,60,能登町本木(県),本木,ﾉﾄﾁｮｳﾎﾝｷ(ﾎﾝｷ),,,12,45,12,55,6,35,,,1056208,,37.2775,137.028889
224,56067,103,10,石川,能登,能登北部,能登町,平地,40,能登町柳田(県),柳田,ﾉﾄﾁｮｳﾔﾅｷﾞﾀﾞ(ﾔﾅｷﾞﾀﾞ),,,12,30,12,35,6,25,,,1056268,,37.368333,137.0925
225,56054,17,10,石川,能登,能登北部,輪島市,山地,110,輪島市三井町市ﾉ坂(県),三井,ﾜｼﾞﾏｼﾐｲﾏﾁｲﾁﾉｻｶ(ﾐｲ),,,12,45,12,55,6,35,,,1056209,,37.294722,136.895278
226,56064,74,10,石川,能登,能登北部,輪島市,200m未満,180,西円山(県),,ﾆｼﾏﾙﾔﾏ,,,,,,,,,,,1056261,,37.3375,136.823889
227,56062,48,10,石川,能登,能登北部,輪島市,平地,10,輪島市町野町(県),町野,ﾜｼﾞﾏｼﾏﾁﾉﾏﾁ(ﾏﾁﾉ),,,12,30,12,35,6,25,70,,1056240,,37.425278,137.085
228,56053,15,10,石川,能登,能登北部,輪島市,200m未満,70,縄又(県),,ﾅﾜﾏﾀ,,,,,,,,,,,1056207,,37.346944,136.8575
229,56057,40,10,石川,能登,能登北部,輪島市,山地,80,輪島市門前町別所(県),二又川,ﾜｼﾞﾏｼﾓﾝｾﾞﾝﾏﾁﾍﾞｯｼｮ(ﾌﾀﾏﾀｶﾞﾜ),,,12,45,12,55,6,35,,,1056232,,37.275,136.839444
230,56060,50,10,石川,能登,能登北部,輪島市,山地,210,輪島市三井町洲衛(県),能登空港,ﾜｼﾞﾏｼﾐｲﾏﾁｽｴ(ﾉﾄｸｳｺｳ),,,12,45,12,55,6,35,,,1056242,,37.297222,136.957778
231,56056,49,10,石川,能登,能登北部,輪島市,平地,20,輪島市門前町深田(県),門前,ﾜｼﾞﾏｼﾓﾝｾﾞﾝﾏﾁﾌｶﾀﾞ(ﾓﾝｾﾞﾝ),,,12,30,12,35,6,25,50,,1056241,,37.288056,136.779444
232,56068,104,10,石川,能登,能登北部,輪島市,200m未満,180,与呂見(県),,ﾖﾛﾐ,,,,,,,,,,,1056267,,37.331389,136.945556
233,25,56052,1,石川,能登,能登北部,輪島市,平地,10,輪島,,ﾜｼﾞﾏ,,,12,30,12,35,6,25,40,84,156903,156052,37.391389,136.895278
234,56038,37,10,石川,能登,能登南部,志賀町,平地,50,志賀町三明(県),荒屋,ｼｶﾏﾁｻﾝﾐｮｳ(ｱﾗﾔ),,,12,30,12,35,6,25,,,1056229,,37.089444,136.766111
235,56033,43,10,石川,能登,能登南部,志賀町,平地,0,志賀町高浜町(県),高浜,ｼｶﾏﾁﾀｶﾊﾏﾁｮｳ(ﾀｶﾊﾏ),,,12,30,12,35,6,25,40,,1056235,,37.005556,136.777222
236,56031,29,10,石川,能登,能登南部,志賀町,平地,50,志賀町上棚(県),上棚,ｼｶﾏﾁｳﾜﾀﾞﾅ(ｳﾜﾀﾞﾅ),,,12,30,12,35,6,25,,,1056221,,36.983333,136.824722
237,56039,36,10,石川,能登,能登南部,志賀町,平地,50,志賀町大福寺(県),深谷,ｼｶﾏﾁﾀﾞｲﾌｸｼﾞ(ﾌｶﾀﾞﾆ),,,12,30,12,35,6,25,,,1056228,,37.189444,136.716667
238,56037,35,10,石川,能登,能登南部,志賀町,平地,90,志賀町鵜野屋(県),地保,ｼｶﾏﾁｳﾉﾔ(ｼﾞﾎ),,,12,45,12,55,6,35,,,1056227,,37.188611,136.796111
239,56036,44,10,石川,能登,能登南部,志賀町,平地,10,志賀町富来高田(県),富来,ｼｶﾏﾁﾄｷﾞﾀｶﾀ(ﾄｷﾞ),,,12,30,12,35,6,25,40,,1056236,,37.141667,136.7325
240,30104,小竹,3,石川,能登,能登南部,中能登町,200m未満,20,小竹(道),,ｵﾀﾞｹ,,,,,,,,,,,356005,,36.95612,136.889978
241,56048,68,10,石川,能登,能登南部,中能登町,山地,350,中能登町高畠(県),碁石が峰,ﾅｶﾉﾄﾏﾁﾀｶﾊﾞﾀｹ(ｺﾞｲｼｶﾞﾐﾈ),,,12,45,12,55,6,35,,,1056255,,36.920278,136.891667
242,56044,63,10,石川,能登,能登南部,中能登町,平地,10,中能登町能登部下(県),鹿西,ﾅｶﾉﾄﾏﾁﾉﾄﾍﾞｼﾓ(ﾛｸｾｲ),,,12,30,12,35,6,25,,,1056251,,36.958333,136.863333
243,56045,62,10,石川,能登,能登南部,中能登町,平地,50,中能登町上後山(県),上後山,ﾅｶﾉﾄﾏﾁｶﾐｳｼﾛﾔﾏ(ｶﾐｳｼﾛﾔﾏ),,,12,30,12,35,6,25,,,1056250,,36.981111,136.847222
244,56052,102,10,石川,能登,能登南部,中能登町,平地,20,中能登町末坂(県),鳥屋,ﾅｶﾉﾄﾏﾁｽｴｻﾞｶ(ﾄﾘﾔ),,,12,30,12,35,6,25,,,1056269,,36.988333,136.903333
245,56043,51,10,石川,能登,能登南部,中能登町,平地,80,中能登町井田(県),二宮,ﾅｶﾉﾄﾏﾁｲﾀﾞ(ﾆﾉﾐﾔ),,,12,30,12,35,6,25,70,,1056243,,36.965,136.918611
246,30112,麻生,3,石川,能登,能登南部,七尾市,200m未満,140,麻生(道),,ｱｿｳ,,,,,,,,,,,,,37.012892,137.026393
247,30109,大田１,3,石川,能登,能登南部,七尾市,200m未満,40,大田(道),,ｵｵﾀ,,,,,,,,,,,356007,,37.052194,137.008686
248,30108,大田除雪,3,石川,能登,能登南部,七尾市,200m未満,0,大田除雪(道),,ｵｵﾀｼﾞｮｾﾂ,,,,,,,,,,,356009,,37.052732,137.002662
249,30110,沢野２,3,石川,能登,能登南部,七尾市,200m未満,80,沢野(道),,ｻﾜﾉ,,,,,,,,,,,356011,,37.052733,137.027007
250,56074,1002,10,石川,能登,能登南部,七尾市,平地,20,七尾市高田町(県),田鶴浜,ﾀﾂﾙﾊﾏ,,,12,30,12,35,6,25,,,1056264,,37.055833,136.888333
251,56050,73,10,石川,能登,能登南部,七尾市,平地,10,七尾市本府中町(県),七尾,ﾅﾅｵｼﾓﾄﾌﾁｭｳﾏﾁ(ﾅﾅｵ),,,12,30,12,35,6,25,,,1056260,,37.04,136.971389
252,30107,七尾除雪,3,石川,能登,能登南部,七尾市,200m未満,20,七尾除雪(道),,ﾅﾅｵｼﾞｮｾﾂ,,,,,,,,,,,,,37.018257,136.954815
253,56051,101,10,石川,能登,能登南部,七尾市,200m未満,30,鵜浦(県),,ｳﾉｳﾗ,,,,,,,,,,,1056266,,37.082778,137.041944
254,56049,72,10,石川,能登,能登南部,七尾市,平地,20,七尾市山崎町(県),花園,ﾅﾅｵｼﾔﾏｻﾞｷﾏﾁ(ﾊﾅｿﾞﾉ),,,12,30,12,35,6,25,,,1056259,,36.98,137.035833
255,26,56146,1,石川,能登,能登南部,七尾市,平地,50,七尾,,ﾅﾅｵ,,,12,30,12,35,6,25,70,88,156905,156146,37.031111,136.991667
256,56041,26,10,石川,能登,能登南部,七尾市,平地,20,七尾市中島町藤瀬(県),西谷内,ﾅﾅｵｼﾅｶｼﾞﾏﾏﾁﾌｼﾞﾉｾ(ﾆｼﾔﾁ),,,12,30,12,35,6,25,,,1056218,,37.143333,136.818333
257,56047,38,10,石川,能登,能登南部,七尾市,平地,30,七尾市大津町(県),大津,ﾅﾅｵｼｵｵﾂﾏﾁ(ｵｵﾂ),,,12,30,12,35,6,25,50,,1056230,,37.061667,136.832778
258,56042,27,10,石川,能登,能登南部,七尾市,山地,250,七尾市熊淵町(県),滝尻,ﾅﾅｵｼｸﾏﾌﾞﾁﾏﾁ(ﾀｷｼﾞﾘ),,,12,45,12,55,6,35,,,1056219,,36.995,136.982778
